countryId,area,population ,deathRate ,birthRate,MalePercentage,lifeExpectancy
100,114760,11485000,8.9,36.2,49.9,59.9
101,274220,19752000,8.1,37.9,49.9,60.4
102,322460,25069000,10.1,35.7,50.6,56.3
103,11300,2280000,7.9,38.5,49.5,60.4
104,238540,29767000,7.3,29.4,49.9,62.7
105,245860,12414000,8.5,36.5,50.2,60.5
106,36130,1874000,9.6,35.1,49.2,56
107,4030,543767,5.6,19.5,49.9,69.3
108,111370,4819000,7.5,33,50.5,62.3
109,1240190,19078000,9.7,41.5,50.1,58.1
110,1030700,4403000,7.2,33.7,50.4,63.1
111,1267000,22443000,8.3,46.1,50.2,60.9
112,923770,195875000,11.9,37.9,50.7,53.5
113,196710,15854000,5.7,34.5,49.2,65.5
114,72300,7650000,11.7,33.4,49.5,53.5
115,56790,7889000,8.4,33.1,49.9,59.9
